created_at,text
Mon Mar 23 07:53:10 +0000 2020,look up courtney take ur break
Sun Mar 22 23:03:10 +0000 2020,love u
Sun Mar 22 21:57:52 +0000 2020,same
Sun Mar 22 19:00:56 +0000 2020,a new username   i like it what inspired the change
Sun Mar 22 19:00:07 +0000 2020,NO I DO NOT also this photo is remarkable thank u
Sun Mar 22 18:58:58 +0000 2020,yes  the cutest ever
Sun Mar 22 18:57:44 +0000 2020,it s the cutest most beautiful
Sun Mar 22 18:56:43 +0000 2020,we will hug one day
Sun Mar 22 18:53:42 +0000 2020,i want more of these pls send me everyone
Sun Mar 22 18:51:49 +0000 2020,miss u miss u miss u
Sun Mar 22 18:48:32 +0000 2020,that u may have all of always
Sun Mar 22 18:44:23 +0000 2020,i meant if u need help with anything   not to tell me like  hi myron
Sun Mar 22 18:42:19 +0000 2020,i m fine  i d be an asshole if i complained  just watching things  calling friends  cooking and looking for ways to help ppl who don t have it as easily as i do rn  if any of y all need anything  any help at all pls tell me to check DMs
Sun Mar 22 18:35:51 +0000 2020,sure am  i can gamble tho now bc not on tour  world is ending  throat can close it s fine
Sun Mar 22 18:34:36 +0000 2020,printing and putting on fridge thank u
Sun Mar 22 18:34:25 +0000 2020,woo
Sun Mar 22 18:33:57 +0000 2020,fr
Sun Mar 22 18:32:50 +0000 2020,ugh the greatest man ever  miss him so much too  especially lately  i wonder if he would ve liked my tomato sauce   it tastes sm like nonna s and i don t even know or have her recipe
Sun Mar 22 18:31:14 +0000 2020,and nonna still says it like that  i love it
Sun Mar 22 18:30:55 +0000 2020,i am used to gran day now but i miss grann dee  maybe just bc grandpa said it like that
Sun Mar 22 18:28:44 +0000 2020,omg i haven t seen this yet  i miss my cute mamaaaaaaaa
Sun Mar 22 18:27:17 +0000 2020,wait but if i respond does that mean you ll stop cause please don t
Sun Mar 22 18:26:45 +0000 2020,i love hearing that so much
Sun Mar 22 18:26:24 +0000 2020,v funny how songs can sometimes manifest things
Sun Mar 22 18:24:42 +0000 2020,roro
Sun Mar 22 18:23:51 +0000 2020,yes
Sun Mar 22 18:23:11 +0000 2020,mmmmmm it didn t for years but now it does   ariana grande butera
Sun Mar 22 18:20:28 +0000 2020,we had a little group facetime the other day the dancers and i  we all send our love and miss it v much
Sun Mar 22 18:18:59 +0000 2020,just so u have context  this is him laying underneath the chair i was sitting in  he always does this  follows me around n waits    i can t
Sun Mar 22 18:16:36 +0000 2020,every minute of every day
Thu Mar 19 23:16:00 +0000 2020,u know i love u boy
Wed Mar 18 19:35:49 +0000 2020,yee
Wed Mar 18 06:19:14 +0000 2020,happy one year since opening swt  love and miss u all  thank u for everything
Tue Mar 17 19:22:50 +0000 2020,same  hold me  virtually
Tue Mar 17 19:20:50 +0000 2020,how
Tue Mar 17 00:13:49 +0000 2020,love u
Tue Mar 17 00:13:35 +0000 2020,it s utterly bizarre
Mon Mar 16 22:22:38 +0000 2020,i say hello
Mon Mar 16 03:31:22 +0000 2020,i love fredo
Mon Mar 16 03:11:46 +0000 2020,i love liz
Sun Mar 15 22:08:18 +0000 2020,gt
Sun Mar 15 21:55:56 +0000 2020,i
Sun Mar 15 20:34:20 +0000 2020,we have no choice but to stan
Sun Mar 15 19:53:29 +0000 2020,i m not explaining myself  i m supporting and trying to help encourage a solution
Sun Mar 15 19:51:23 +0000 2020,instead of responding with your frustration   that i totally agree with and support   call your senators   we need them to support this plan  everyone deserves to be financially supported and feel safe at home during this time
Sun Mar 15 19:49:09 +0000 2020,please support h r 6201 which has passed the house  this bill will provide people w necessary financial support in terms of paid sick leave   unemployment due to corona virus   isolation   prevention   please contact your senate to support the passing of this bill   urgently
Sun Mar 15 19:45:47 +0000 2020,i am agreeing w yall  these are the times when the world should rely on their governments to support the plan for all citizens to stay at home and lessen the threat of infection and the spread of the virus
Sun Mar 15 19:44:26 +0000 2020,"well some of us have to work  
i understand and entirely support your frustration  i do not mean to disrespect anyone who doesn t have the privilege of cancelled work or being able to call out of their work  but  this is a national emergency and a pandemic of global proportion"
Sun Mar 15 18:40:42 +0000 2020,if you have the choice  if your work IS cancelled  please try to be considerate of others  that is all i meant
Sun Mar 15 18:39:30 +0000 2020,this is what i m talking ab
Sun Mar 15 18:32:42 +0000 2020,yes  for sure  i am just asking the people that have the privilege of cancelled work to practice social distancing instead of deliberately making selfish choices that put others in danger
Sun Mar 15 18:02:47 +0000 2020,like your hip hop yoga class can fucking wait i promise
Sun Mar 15 17:55:56 +0000 2020,please
Sat Mar 14 01:20:02 +0000 2020,they taught me this one years ago  means suck my dick
Sat Mar 14 01:19:38 +0000 2020,don t
Thu Mar 12 22:12:20 +0000 2020,sending love  be safe
Thu Mar 12 22:10:04 +0000 2020,fuckin mood
Tue Mar 10 21:38:34 +0000 2020,divine
Mon Mar 09 23:01:32 +0000 2020,thank u for this my sweet
